Pirai,,Rurrenabaque,,portachuelo2estrellas,
364.7155194,689.8903438,388.5711274,594.5221594,194.8029283,743.4163932
366.0083691,690.0383438,391.9431788,598.7381094,201.2382266,748.5662232
367.2743511,690.8523438,395.1460837,600.4332274,207.7703299,757.9942432
368.4033283,690.8523438,398.8140831,600.9112048,214.3441338,775.3229532
369.3747772,690.8523438,403.6082932,601.2646824,220.9953817,784.1123932
370.2992727,690.8523438,407.067269,601.5096605,227.7709868,793.5565732
371.127916,690.8523438,409.924711,602.5682165,234.2420285,810.2458832
371.9284508,690.8523438,412.4294095,606.7911975,240.4301017,819.9765232
372.7289855,690.8523438,414.7099585,607.4858454,247.0820943,825.4207532
377.23547,691.0743438,416.8425274,608.4605204,253.8658906,834.4761132
402.4005112,748.6623438,418.8539302,612.0740104,260.5752215,843.9277732
406.2113988,760.7813438,420.9051487,612.5630341,267.4386957,871.6234732
407.9342653,760.7813438,423.1214007,613.0612887,274.3535511,893.6304932
409.2904353,760.7813438,425.0741418,613.1396712,281.3041498,904.5398332
410.4507,760.7813438,426.8948634,613.8913722,288.3150655,919.4932332
411.7846443,762.1903438,428.6077276,614.1537604,295.3706604,931.4434232
412.8987998,762.1903438,430.2174858,614.1858985,301.9265927,941.2546432
413.9587413,762.1903438,431.7610931,614.3724141,308.4706104,951.5429432
414.9754586,762.1903438,433.2484819,614.4669953,314.9736722,962.8269832
415.9892943,762.1903438,434.6581789,614.6789707,321.478968,987.6913832
416.9745532,762.1903438,436.0152917,614.7788944,328.0274537,1009.490283
417.8990486,762.1903438,437.3357562,617.5115414,334.654128,1021.072273
419.1533879,769.2043438,438.620297,618.0710402,341.3515444,1035.818113
420.2193388,770.1403438,440.0223943,618.4673511,348.0526842,1044.453493
421.2648722,770.1403438,441.5823551,624.8721711,354.7895673,1060.163613
422.3638744,770.1403438,443.1341269,632.7007611,361.5301736,1067.430643
423.4238159,770.1403438,444.8824115,635.5308271,368.3638617,1077.241653
424.5318322,770.1403438,446.8062883,638.5299431,375.2682919,1084.924453
425.759567,770.1403438,449.0331603,638.8954843,382.2486768,1090.278163
426.9896775,770.1403438,451.1554408,639.3335731,389.3057611,1095.894993
428.3097846,770.1403438,453.0038849,639.4159131,396.4261409,1097.723808
429.6767154,771.7463438,454.580322,639.4641827,403.584498,1102.571368
431.1678564,771.7463438,455.9523151,639.5511935,410.7592376,1104.219874
432.5524255,781.6883438,457.2086422,640.4332295,417.940679,1107.233139
433.9193562,782.6423438,458.3964366,641.0418015,425.1213758,1112.18782
435.3674234,782.6423438,459.5249555,641.2147752,432.3050512,1120.80065
436.8190182,782.6423438,460.6664516,641.3037003,439.4730888,1126.04954
438.270613,784.1643438,461.8881563,641.5037118,446.6158082,1131.986
439.6314456,784.1643438,463.0166752,642.3570638,453.7704421,1140.57979
440.9137328,784.1643438,464.1259307,642.6334543,460.9615641,1152.8444
442.2273178,784.8473438,465.3272058,644.1728083,468.1623665,1162.02224
443.4509062,786.1793438,466.5150002,647.7248803,475.3490205,1185.92824
444.7168882,786.2693438,467.6115608,658.0158703,482.4954632,1211.54604
445.855211,786.2693438,468.826427,659.7417473,489.5979713,1228.11971
446.9872646,786.2693438,470.298027,659.9249926,496.7123939,1242.17282
448.2255619,787.0833438,472.0552497,660.4610546,503.8484114,1251.21678
449.4866011,788.2143438,473.472571,661.4160561,510.9673019,1257.82821
450.6938843,789.7393438,474.7642327,662.3964805,518.0236415,1260.60435
451.9011675,793.0123438,476.0275703,662.4413504,525.0025371,1266.9594
453.2535569,793.6603438,477.1368258,662.4867336,531.8518629,1270.04446
464.2525421,804.0273438,478.2020912,662.5192781,538.5753423,1278.32294
468.2788978,841.9833438,479.2127097,662.5638119,545.1871235,1301.53531
469.6359395,849.7413438,480.165084,662.5644263,551.7303966,1311.668
470.5397748,849.7413438,481.0837321,662.5874807,558.2371817,1317.5195
471.3403095,849.7413438,481.9803913,662.6234731,564.7141806,1339.8007
472.095887,849.7413438,482.8448098,662.8404736,571.1695846,1356.69483
472.7975377,851.2373438,483.6934396,663.2493944,577.5743521,1365.858137
473.4310175,852.0653438,484.5316704,663.4772764,583.9977359,1371.541337
474.0164465,852.0653438,485.4014051,664.3922934,590.4583524,1386.452517
474.5703179,852.0653438,486.2980643,679.6072834,596.8891828,1399.951627
475.1046777,852.0653438,487.2222741,686.7385434,603.2001239,1405.390113
475.5979771,852.0653438,488.1746484,686.8122667,609.4231959,1407.330442
476.0912765,852.0653438,489.1044321,686.8340179,615.5651006,1408.493242
476.5845759,852.0653438,490.0010913,686.8758856,621.6079663,1410.329839
477.0778753,852.0653438,490.8761667,686.9137843,627.560729,1411.999627
477.5711748,852.0653438,491.735306,686.9685662,633.3250942,1412.197142
478.0644742,852.0653438,492.5787178,687.3161032,638.8161714,1413.582348
478.5577736,852.0653438,493.4221297,687.3848254,644.0987456,1414.926747
479.0790038,852.0653438,494.2500474,687.5960399,649.2308997,1422.957307
480.3521334,852.7513438,495.0882782,688.8378158,654.2580577,1424.364531
481.0294732,859.1193438,495.9849374,693.7722858,659.2167074,1428.549044
481.6149022,860.1353438,496.9259673,695.3249208,664.1165296,1429.614895
482.1589118,860.1353438,498.0288631,695.6235652,668.9225253,1431.277374
482.6970044,860.1353438,499.1128271,695.6652478,673.614589,1433.604176
483.1996358,860.1353438,500.0652013,695.7662678,678.1815509,1444.910049
483.6929352,860.1353438,500.9456297,696.1344461,682.6204323,1453.490629
484.2288606,860.1353438,501.799502,698.6335181,686.9141062,1463.597369
484.72216,863.7033438,502.7016246,698.7830049,691.0469349,1477.669539
485.2154594,864.3153438,503.8172767,699.0792262,695.0070039,1482.233949
485.7087588,864.5373438,504.8519222,699.096241,698.8032491,1509.930749
486.3474207,865.3573438,505.8214972,699.1181308,702.4423723,1517.402348
486.958186,866.3953438,506.7401452,699.2794991,705.957883,1519.472013
487.7272828,869.0303438,507.6313778,699.3568157,709.4004176,1520.333336
489.0870181,885.6913438,508.5011125,699.9982089,712.7632742,1521.651782
